All images under CC0 licence, except images from wikipedia (CC-BY SA, published by the german government)


name,source,was_modified
2-8_vehicle, https://www.researchgate.net/publication/332561752_Adaptive_Robust_Vehicle_Motion_Control_for_Future_Over-Actuated_Vehicles/figures?lo=1&utm_source=google&utm_medium=organic, 0
4-1_urban_road, https://www.pexels.com/de-de/foto/zeitrafferfotografie-von-fahrzeugen-die-auf-der-strasse-vorbeifahren-2168974/, 0
4-2_non-urban_road, https://www.pexels.com/de-de/foto/asphaltstrasse-unter-bewolktem-himmel-56832/, 0
4-3_highway, https://www.pexels.com/de-de/foto/autos-auf-der-strasse-221284/, 0
5-1_shoulder, https://www.publicdomainpictures.net/en/view-image.php?image=364409&picture=mountain-road, 0
5-1_bus_lane, https://unsplash.com/photos/Tty3rNXW3sc, 0
5-1 shared_walkway, https://unsplash.com/photos/fDl6vhet80I, 0
5-1_bicycle lane, https://unsplash.com/photos/3IEOdMrSfU8, 0
5-1_rails, https://www.pexels.com/de-de/foto/foto-der-strassenbahn-auf-der-strasse-2461971/, 0
5-1_offRamp, https://unsplash.com/photos/rb5is4sr544, 0
5-1_emergency_bay, https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Gotthard_Road_Tunnel_-_Emergency_Bay_(15421316287).jpg/800px-Gotthard_Road_Tunnel_-_Emergency_Bay_(15421316287).jpg, 0
5-1_on_ramp, https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/UdelbergA14VLBG.JPG/1200px-UdelbergA14VLBG.JPG, 0
5-1_bus_cutout, https://upload.wikimedia.org/wikipedia/commons/8/89/The_bus_bay_in_IT_corridor.JPG, 0
5-1_keepout, https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Luxembourg%2C_road_marking_%2810o_surface_de_lignes_obliques_1%29.jpg/,250px-Luxembourg%2C_road_marking_%2810o_surface_de_lignes_obliques_1%29.jpg, 0
5-1_bike_bus_lane, https://upload.wikimedia.org/wikipedia/commons/c/c8/Bike_and_bus_lane_on_London_Road_-_geograph.org.uk_-_732624.jpg, 0
5-1_carpool_lane, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Interstate_5_northbound_near_Shoreline%2C_WA_-_HOV_and_VMS.jpg/,1200px-Interstate_5_northbound_near_Shoreline%2C_WA_-_HOV_and_VMS.jpg, 0
5-1_walkway_1, https://s0.geograph.org.uk/geophotos/06/25/25/6252503_3120885b.jpg, 0
5-1_walkway_2, http://s0.geograph.org.uk/geophotos/04/74/21/4742172_9d8ac088.jpg, 0
5-1_walkway_3, https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Sidewalk_with_bike_path.JPG/220px-Sidewalk_with_bike_path.JPG, 0
5-1_vegetation, https://s0.geograph.org.uk/geophotos/03/20/72/3207251_706f2ce1.jpg, 0
5-2_bridge, https://upload.wikimedia.org/wikipedia/commons/6/65/Nature_Road_Bridge.jpg, 0
5-2_tunnel, http://photoeverywhere.co.uk/britain/walesgeneral/conway_tunnel4402.JPG, 0
5-3_intersection, https://www.pexels.com/de-de/foto/luftaufnahme-von-autos-an-strassenkreuzungen-186537/, 0
